name,stats,desc,all_zl,step
"
                鱼香肉丝（米饭杀手系列三）
            ",7.8,"
        最近迷上了","豆瓣酱1勺,醋2勺,生抽2勺,蚝油1勺,白沙糖2勺,料酒1勺,淀粉适量,里脊肉半斤,青椒3个,木耳10朵,胡萝卜半根,仔姜3块","
              第一步 将生抽 醋 蚝油 糖 按1：1：0.25：1.5的比例放入碗中 再加入少量淀粉搅拌均匀备用
            
              木耳洗净泡水待用
              
            
              红萝卜去皮 青椒 仔姜 切丝  蒜切片
              
            
              瘦肉买回来最好放冰箱急冻一会儿 这样比较容易切丝  随后在肉丝中加入生抽 淀粉抓匀腌制 这样入味而且丝滑（用鸡蛋清代替淀粉会更好）
            
              起锅烧油 下入红萝卜翻炒至变色 大约1分钟 这个比较难熟
              
            
              随后加入木耳青椒丝翻炒均匀 听到木耳噼里啪啦爆开的声音再炒个20秒就差不多可以出锅装盘待用了
              
            
              下入肉丝翻炒至变白 八成熟就行了 出锅待用
              
            
              如图
              
            
              大火 加入蒜片跟郫县豆瓣酱翻炒
              
            
              倒入刚炒好的半成品跟仔姜丝 淋入少许料酒  翻炒几下加入调好的芡汁（用筷子搅拌下） 炒个1分钟左右就可以出锅了
              
            
              话不多说 盛饭吧～～
              
            "
"
                无敌好吃的香煎豆腐
            ",7.4,"
        这真的是我吃过最好吃的豆腐做法啦。小伙伴们赶紧试试吧，真的好吃哦。
      ","豆腐1块,鸡蛋1个,淀粉适量,盐半匙,白糖半匙,蚝油1勺,生抽2勺,蒜末2瓣","
              调一碗料汁：碗里加一勺蒜末，两勺生抽，一勺蚝油，半匙食盐，半匙白糖，半勺淀粉、三勺水混合备用。
              
            
              准备食材：豆腐切块，鸡蛋一个，淀粉适量
              
            
              豆腐先裹一层淀粉
              
            
              再裹上一层鸡蛋液
              
            
              把豆腐放入平底锅，煎至两面金黄
              
            
              倒入调好的料汁，翻炒片刻
              
            
              加入香菜葱段即可
              
            "
"
                超级下饭的地三鲜
            ",7.7,"
        大学在东北上的，食堂经典。如今很是怀念，自己做的试试。
      ","长茄子1个,青椒2个,土豆1个,蚝油1勺,生抽3勺,盐三分之一勺,糖二分之一勺,老抽二分之一勺,淀粉2勺,葱适量,蒜3-4瓣","
              土豆，茄子，青椒统统滚刀块，准备好葱末蒜末。土豆清水洗净，茄子中加入几滴白醋（防氧化变黑）。
              
            
              土豆煮大约5分钟，（具体时间看土豆脾气），原则是筷子扎透即可。
              
            
              煮熟的土豆捞出，土豆、茄子外面裹干淀粉（减少吸油量，同时保证酥脆口感）。
              
            
              裹好淀粉的土豆茄子下油锅历练（油温六成热即可下入）。
              
            
              约2-3分钟后，锅中加入青椒，青椒过油即可全部捞出。
              
            
              锅内留底油，将葱蒜爆香，加蚝油2勺，生抽3勺锅边淋入，加半碗清水，半勺老抽，盐一丢丢，糖1勺，淋入水淀粉，再滴入几滴明油。倒入炸好的菜，翻炒，大火收汁。
              
            
              这是我量调料的勺❤
              
            "
"
                干锅花菜
            ",7.8,"
        超级喜欢吃花菜，用五花肉炒特别下饭
      ","花菜300g,五花肉150g,蒜5-6瓣,青蒜2根,干辣椒3-4个,红辣椒1个,生抽2-3勺,盐一小勺,糖一小勺","
              西兰花摘小朵
              
            
              五花肉切片，蒜拍扁，青蒜切段，红辣椒切片
              
            
              热锅倒一点油把五花肉炒出油
              
            
              加入蒜头和干辣椒
              
            
              加入少许生抽给肉上色
              
            
              炒至上色
              
            
              加入花菜翻炒
              
            
              少许盐和糖
              
            
              花菜炒熟之后加入红辣椒和青蒜
              
            
              继续翻炒至断生即可出锅
              
            
              颜值高又下饭
              
            "
"
                比肉还好吃的金针菇豆皮卷
            ",7.2,"
        超级无敌好吃哦！比肉还好吃的素菜，也很适合想","金针菇1把,豆皮1张,蒜瓣2瓣,葱花10克,牙签12根","
              1⃣️、调料汁：一勺生抽➕半勺老抽➕一勺蚝油➕糖和盐适量➕小半碗水，拌匀
              
            
              2⃣️、金针菇洗净切去掉头部撕开，豆皮切成小长条，取一小撮金针菇用豆皮裹起来，用牙签固定住3⃣️、锅中热油爆香蒜末，放入豆皮卷
              
            
              小火煎至两面金黄，倒入调料汁，煮开后再加入适量水淀粉，大火煮至收汁，出锅前撒葱花即可
              
            
              超级入味的金针菇豆皮卷就做好了😋
              
            "
"
                孩子能吃两碗饭的一道菜
            ",1,"
        丰富的蛋白质，味道鲜美，汤汁有营养，孩子一顿能吃两碗饭。
      ","鲍鱼500克,老鸡1/4只,五花肉250克,花胶少量,姜15片,蒜7瓣,大葱3段,胡椒粒20粒,盐少量,冰糖少量,生抽老抽少量,鸡粉少量","
              材料……上面的啦！
              
            
              主角来啦！
              
            
              油下锅，蒜和大蒜暴香。
              
            
              倒入鲍鱼炒干水分，捞起。
              
            
              油下锅，放入姜片，五花肉，鸡块，炒至稍微有点金黄色。
              
            
              倒入鲍鱼，花胶，翻炒，放入生抽，老抽，胡椒粒，鸡粉，冰糖，喜欢辣的宝宝可以放点干辣椒。
              
            
              倒入水，淹没所有材料5厘米。
              
            
              盖上锅盖，煮开后，小火焖4小时。或者可以高压锅焖一个半小时。
              
            
              完成啦！
              
            
              浇上汤汁，拌饭十分美味！
              
            "
"
                真真假假 赛排骨
            ",8,"
        你吃过赛螃蟹但是你吃过赛排骨嘛，只需要一个土豆和一点五花肉 就能吃到满口留香的赛排骨，连“骨头”也可以一起吃掉！
      ","土豆1个,五花肉250克,葱段2-3段,奥尔良腌料50克,耗油1勺,生抽1勺,老抽1勺","
              五花肉提前冲洗干净切成稍微有一些厚的肉片
              
            
              土豆切成条浸泡掉多余的淀粉备用
              
            
              在猪肉片里放上土豆条然后卷起来
              
            
              提前准备一个料汁 碗里放奥尔良腌料 耗油 生抽 老抽 再加适量清水搅拌均匀
              
            
              锅中倒油 放入肉卷小火满煎 煎的过程中用筷子轻轻翻动 防止煎糊
              
            
              煎制两面金黄以后放入葱段 倒入料汁
              
            
              大火煮开 收干汤汁 撒上一些做作的葱花 赛排骨就可以出锅啦 
              
            "
"
                肉末茄子
            ",7.6,"
        说到茄子，这是一种不管什么烧法，都好吃得不得了的食材。这次要介绍的，是好吃下饭到吃了两碗还舔碗的肉末茄子。这道菜的亮点在于肥而不腻、酱香浓厚、微辣鲜甜。茄子的质地厚实、绵软细腻但却不缺乏海绵般饱满的口感，有点大肥肉的意思，但入味的茄子真是比肉还好吃，充分的吸收肉末的鲜香荤油的味道，让整道菜不会过分的油腻。夹起一块浸泡在鲜美酱汁里的软烂的茄子，上面还些许香味十足的五花肉末，连着一口粘到酱汁的被油汁浸透米饭吞下，大脑已经一片空白只记得狼吞虎咽。而且这道菜的做法也是非常的简单，不管家里有几个人，焖上一锅肉末茄子总是不会出错的。
      ","茄子1个,肉末150g,青红尖椒2个,生抽1勺,老抽半勺,盐1勺,白糖1勺,淀粉1勺,葱3根,姜4勺,蒜3瓣,醋1勺","
              茄子去皮切大小均匀的方块蒸5分钟
              
            
              葱姜蒜红绿椒切碎备用
              
            
              碗里倒入生抽，老抽，白糖，盐，淀粉，醋各一勺，加点水搅拌均匀
              
            
              热锅热油，下肉末翻炒断生后放入葱姜蒜青红椒翻炒均匀，再加入蒸好的茄子翻炒均匀
              
            
              调好的酱汁倒进去翻炒一分钟左右就可以出锅啦！
              
            
              很下饭哦！
              
            "
"
                豆腐这样做比大鱼大肉都好吃，简单易做又下饭
            ",7.9,"
        今天跟大家分享的这道菜是家常豆腐，做法简单，将豆腐经过简单的煎下，口感干香，再吸入汤汁，入口浓郁鲜香，是一道非常好吃又下饭的","老豆腐1块,青辣椒2个,红辣椒1个,干木耳10朵,红辣椒1个,生抽1勺,蚝油1勺,老抽1勺,蒜1瓣,姜2片,盐1.5克,玉米淀粉3克","
              老豆腐1块、干木耳10个、青辣椒2个、红辣椒1个
              
            
              生抽1勺、蚝油1勺、老抽1勺、蒜1瓣、姜2片、食用盐1.5克、玉米淀粉3克
              
            
              先把豆腐在温盐水里浸泡一会后沥干，将豆腐切成正方形，再斜刀切成三角形放入盘中，木耳提前泡发、青红辣椒切成小块备用
              
            
              锅中加入适量食用油，烧至6成热，将豆腐沿着锅边一片一片的放入锅内，让豆腐自然滑到锅中，不要直接把豆腐倒入锅中，这样可能会溅到油而且会弄碎豆腐，煎的时候尽量油温高一些，火小一点，慢慢煎，因为火大了，就很容易糊，不要急着翻动，否则很容易破，要等底面煎黄、定型了再翻面
              
            
              豆腐煎至两面金黄后盛出来
              
            
              锅留少许底油，烧至5成热，下入姜末煸香，再倒入青红椒、木耳煸炒断生
              
            
              加入煎好的豆腐
              
            
              加入老抽
              
            
              加入生抽、蚝油
              
            
              加入食用盐，翻炒均匀
              
            
              最后淋上水淀粉，勾上一层薄芡
              
            
              翻炒调味均匀，淋少许入香油增香，快速炒匀，出锅装盘
              
            
              香喷喷的家常豆腐就出锅啦，是不是很简单，豆腐是煎的油不是很多，吃起来不油不腻，外酥里嫩，香醇可口，非常下饭。
              
            "
"
                酱汁杏鲍菇❗比肉还好吃
            ",7.9,"
        杏鲍菇这样做，真的比肉还好吃，关键还低脂低卡，好吃不胖，超级简单易做，分分钟搞定，喜欢的赶快试试吧～
      ","杏鲍菇2个,蒜3瓣,小葱1根","
              真的超级好吃……
              
            
              调酱汁：1勺生抽，1勺蚝油，半勺老抽，适量白糖，1勺淀粉，半碗清水，搅拌均匀备用
              
            
              1⃣️、杏鲍菇洗净，切圆片，划十字花刀2⃣️、热锅入适量油，下杏鲍菇煎至两面金黄，捞出备用3⃣️、热锅烧适量油，下蒜末炒香，倒入酱汁煮开、再倒入杏鲍菇，小火焖煮5分钟左右（口重可加少许盐调味）大火收汁即可，出锅前撒葱花～
              
            
              是不是超简单呢？赶快试试吧……
              
            "
"
                手撕包菜（米饭杀手系列二）
            ",7.4,"
        人人都爱吃的","包菜半个,蒜5瓣,干辣椒5个,生抽1汤匙,蒸鱼豉油2汤匙,蚝油1汤匙,鸡精小半勺","
              包菜用手撕成大块 一片叶子一分为二最佳 放入水中待用  要用的时候再沥干水分
              
            
              准备好蒜跟干辣椒 蒜不用切那么细 粗一点更好
              
            
              碗里加入1勺生抽 2勺蒸鱼豉油  1勺蚝油 适量鸡精搅拌均匀
              
            
              起锅烧油 加入蒜粒干辣椒爆香（个人比较喜欢丢几颗麻椒增香）
              
            
              将沥干水分的包菜放入锅中翻炒 全程大火 20秒钟后加入勾兑好的芡汁倒入锅中继续翻炒 大约1分钟不到就可以出锅了 千万别太久 不然就不脆了 （喜欢吃酸的可以适当加点醋）
              
            
              出锅 色香味俱全～等着掌声吧～
              
            "
"
                健康低脂凉拌菜—菠菜可以这样吃
            ",7.7,"
        凉拌菜—菠菜拌蛋皮。","菠菜1把,鸡蛋3个,花生40克,香油约15克,盐1.5g,蒜4瓣,蚝油8克,白芝麻适量","
              材料准备
              
            
              鸡蛋打散，少量盐，锅中刷油，倒入适量蛋液，转锅一圈铺平，小火煎成蛋皮
              
            
              切丝
              
            
              菠菜热水焯一下过凉水两遍，捞出沥干水分
              
            
              蒜泥准备好调汁：蚝油、生抽、香油、盐，按需放，不要太咸
              
            
              混合
              
            
              不粘锅花生无油煎煮，有油会脆一些
              
            
              撒芝麻和花生
              
            
              完成。
              
            "
"
                肥而不腻红烧肉
            ",3,"
        肥肉已经成透明的了，非常香，主要一点都不腻
      ","五花肉500克,冰糖15克,生抽3勺,老抽1勺,姜片若干片,桂皮1块,香叶1片,大料2颗","
              五花肉带皮切块，大概2厘米左右，放入凉水加入姜片，起锅开火至煮沸去除浮末（清汤留下备用）捞出肉块
              
            
              另起锅，加入冰糖和少量水，大火熬糖色，变色后转小火倒入少量油，继续熬制枣红色后放入红烧肉翻炒，均匀上色后，加入生抽，继续翻炒
            
              倒入刚刚的清汤，放入桂皮，大料和香叶开锅后转小火，盖盖焖煮1小时左右
              
            
              大火收汁即可
              
            "
"
                家常版蚂蚁上树
            ",7.0,"
        蚂蚁上树就是肉沫粉丝，是一道操作简单的","红薯粉一把,肉末300克,料酒2勺,豆瓣酱2勺,葱姜蒜适量,老抽1勺,盐少许,青蒜苗3-4根","
              准备肥瘦相宜的猪肉，剁成肉沫，不用剁太碎，太碎了就成了猪肉泥了，容易炒不散。
              
            
              提前泡好的红薯粉。
              
            
              配菜青蒜苗切段备用。
              
            
              大蒜切碎备用，姜末根据自己的需要。
              
            
              热锅烧油，炒肉沫，炒到肉沫变色，水分炒干加入料酒，炒出酒香味，加入大蒜姜末。
              
            
              加入豆瓣酱，炒出红油。
              
            
              加入泡好的红薯粉，一起翻炒。可以加少量的水，防止红薯粉粘锅。尝一下咸淡，因为豆瓣酱有咸味了，盐要少加一点。
              
            
              红薯粉变色可加入一点老抽调色，加入青蒜一起翻炒几下就可起锅啦。
              
            
              成品出锅。
              
            "
"
                超好吃的黄焖🐔
            ",2,"
        没有故事","鸡腿3只,青红辣椒共3个,干香菇6朵,盐适量,生抽2勺,老抽1勺,料酒3勺,干辣椒6.7个,老冰糖两三大块","
              鸡腿肉剁块，下姜片、料酒一起焯水
              
            
              5成熟后捞起过凉水然后滤干表面水分
              
            
              青红椒切块
              
            
              准备干辣椒和姜片
              
            
              老冰糖砍成大概这个大小
              
            
              干香菇泡发后切片或者小块
              
            
              热锅下油下冰糖，熬出糖色
              
            
              加入鸡块上色
              
            
              加入干辣椒姜片翻炒。
              
            
              辣椒味炒出来后加入2比1比例的生抽老抽，然后加入香菇，继续翻炒
              
            
              加入没过鸡块的开水，大火煮开后转小火，熬煮20分左右。
              
            
              大火收汁，尝下味道和加入盐调味。
              
            
              倒入青红辣椒炒至辣椒熟
              
            
              好吃的黄焖鸡出锅啦~
              
            "
"
                宫保鸡丁
            ",7.1,"
        听说鸡胸肉热量低，吃多少都不胖。毫不犹豫买了一块鸡胸肉，做宫保鸡丁吧，下饭，可以多吃两碗饭。等等…不是说要","鸡胸肉一块,黄瓜半根,胡萝卜半根,料酒3勺,生抽2勺,老抽、蚝油、芝麻油各1勺,白胡椒粉半勺,淀粉1勺,盐1勺,白糖1.5勺,姜、蒜适量,干辣椒1个,豆瓣酱半勺","
              鸡胸肉、黄瓜、胡萝卜，洗净，切丁。
              
            
              用上面的调料腌制鸡胸肉10～20分钟，越久越入味，但不要超过半个钟头，不然肉太咸。
              
            
              腌鸡胸肉的同时，准备以上的材料：白糖1.5勺，盐1勺，姜、蒜适量，干辣椒一根，豆瓣酱半勺。
              
            
              上锅，放油，烧热，加入姜、蒜、干辣椒、豆瓣酱，炒香（翻个十下八下就好）。然后加入腌制的鸡胸肉，翻炒1分钟，再倒入胡萝卜和黄瓜丁，加入1.5勺白糖，继续翻炒2分钟。如果家里有准备花生米的，在出锅前的30秒加入，快速翻炒即可。在出锅前，尝一下味道够不够咸，不够就加一勺盐。因为有的人豆瓣酱会放的比较多，豆瓣酱是咸的，如果豆瓣酱放多了，就不用加盐了。我的有加一勺，口味重😂
              
            
              我今天没有准备花生米，但味道也没差。出锅，热腾腾，香喷喷。
              
            "
"
                蒜香排骨
            ",4,"
        我最爱的排骨烹饪方式，这个菜谱是“懒人版”的，很快手，做起来很方便哦～","伊比利亚猪排500克,独蒜6个,姜1块,蛋黄1个,蚝油4勺,生抽3勺,老抽2勺,白糖1勺,料酒2勺,胡椒粉少许,小米辣2-3根,淀粉150克","
              准备材料，猪排我选用的伊比利亚猪排，肉汁很丰富，做蒜香排骨十分合适，砍成4厘米左右的小段
              
            
              排骨一定提前浸泡，把血水完全泡出去腥，用冷水洗净备用
              
            
              蒜1/3切片，2/3切蒜末，姜切片，小米辣切碎
              
            
              在大碗中加入蚝油、生抽、老抽、盐、姜蒜片、白糖、料酒、胡椒粉，与排骨拌匀
              
            
              裹上保鲜膜，放入冰箱腌制至少1小时以上，越入味越好吃
              
            
              挑出腌制好的排骨里的姜蒜片，加入一个鸡蛋黄（不要蛋清），拌匀
              
            
              把每块排骨逐一均匀裹上淀粉，让排骨吸收一下，避免炸的时候掉粉
              
            
              起油锅，待锅内油烧至7成热，下排骨开始炸制定型后捞起，待油温降下后再进行复炸
              
            
              全程小火，炸10分钟左右，把排骨炸熟
              
            
              炸熟后把排骨捞起，大火再复炸一次，炸一分钟，这样炸出的排骨表皮更酥脆
              
            
              排骨炸好后，锅内余少许油，下蒜末炒干水分，炒香
              
            
              待蒜末炒至金黄下小米辣炒匀
              
            
              加入排骨翻炒几下，将蒜蓉全裹在排骨上，就可关火起锅
              
            
              蒜香已经扑鼻而来，老少皆宜的美味～
              
            
              裹上又脆又香的蒜蓉粒，解腻又解馋～
              
            
              一口咬下去，满满肉汁，真正是外酥里嫩，唇齿留香
              
            "
"
                💥💥巨下饭，专治没食欲❗️超级好吃的虎皮青椒
            ",7.6,"
        做这道菜的时候一定要多焖点米饭🍚，超级开胃下饭，关键好吃到爆，🧚‍♀️仙女们赶紧学起来吧
      ","青椒1斤,酱油2勺,老抽1勺,陈醋1勺,糖半勺,姜，蒜适量,水淀粉少许","
              拿一碗一勺老抽，两勺生抽，一勺醋，半勺糖给它调成料汁搅拌至融化
              
            
              1⃣️青椒去籽洗净，如果青椒太大给它切成小段会容易煎至2⃣️锅里放少许油，放入青椒煸炒，慢慢煸炒至青椒变软，外面焦黄。 3⃣️把扁好的青椒扒拉一边放入葱姜蒜碎炒香，倒入调好料汁翻炒两分钟4⃣️最后倒入水淀粉，加入少许盐和鸡精撒上葱花即可
              
            
              超级好吃的虎皮青椒就做好了，真的超级好吃又下饭
              
            "
"
                健康低脂家常菜—西兰花炒口蘑
            ",7.6,"
        西兰花我非常喜欢，很百搭，任何时候搭配都不会出错。","西兰花1/4朵,口蘑5个,蒜2瓣,蚝油8克,盐1.5克,胡萝卜半根","
              西兰花掰成小朵，口蘑切片，胡萝卜切丁
              
            
              热水焯一下西兰花和胡萝卜，水中放少量盐和几滴油
              
            
              蒜爆香
              
            
              放口蘑翻炒软了后
              
            
              再放西兰花和胡萝卜
              
            
              加入蚝油和盐，混合均匀
              
            
              出锅
              
            "
"
                醋溜土豆丝,你真的会溜吗?记住这三点,一定好吃!
            ",7.6,"
        最开始写菜谱，","土豆一大个,青红椒一个,米醋，盐适量","
              准备好食材，一个大土豆，一个青椒，一个红椒（青椒红椒只是点缀，用不完一个，剩下的我用来做了另一个菜，后面会分享）。
              
            
              土豆切丝，越细越好。（要用刀切，不要擦丝，这是第一点。因为刀切棱角分明，不容易粘）
              
            
              土豆切丝泡水 ，去除淀粉， 五到十分钟 ，多冲几遍水。（土豆丝表面富含淀粉，直接下锅容易黏糊，一定要清洗干净，这是第二点）
              
            
              青红椒切丝，辣椒， 蒜 ，葱备用。
              
            
              热锅倒入油，油热后放入 葱白 辣椒 大蒜爆香（儿不吃辣，他不让我放辣椒，最多放一个，喜欢吃辣的可以多放）。然后放入青红椒。
              
            
              下土豆丝爆炒三分钟后 加盐 ，鸡精 ，两勺醋 （一定要大火爆炒，这是第三点）
              
            
              最后加点葱 ，快速翻炒均匀，就可以出锅啦！
              
            
              出锅。
              
            
              香脆爽口，百吃不厌
              
            
              又香又脆的土豆丝做好了。
              
            
              开吃吧！我爱摄影，爱跑步，爱读书，爱做饭，更多美食欢迎关注我公众号：魅力味小厨。
              
            "
"
                素食︶姜黄 花菜烩豆腐
            ",0,"
        “忍”能养福；“忠”能养禄；","材料：水豆腐，秀花菜，红萝卜，小木耳，姜。,调味料：植物油，麻油，姜黄粉，素蚝油，糖，盐，生粉。","
              1、豆腐切小块。秀花菜洗净剪小朵。红萝卜去皮切片。小木耳泡发好。姜切片。
              
            
              2、热锅下油，把豆腐煎至金黄色装起备用。利用余油放入姜片爆香，将秀花菜、小木耳、红萝卜炒香，再放小许热开水，豆腐回锅，下入调味料和姜皇粉稍煮，最后勾芡，洒小许麻油即成。
            "
name,stats,desc,all_zl,step
"
                鱼香肉丝（米饭杀手系列三）
            ",7.8,"
        最近迷上了下饭菜了～
      ","豆瓣酱1勺,醋2勺,生抽2勺,蚝油1勺,白沙糖2勺,料酒1勺,淀粉适量,里脊肉半斤,青椒3个,木耳10朵,胡萝卜半根,仔姜3块","
              第一步 将生抽 醋 蚝油 糖 按1：1：0.25：1.5的比例放入碗中 再加入少量淀粉搅拌均匀备用
            
              木耳洗净泡水待用
              
            
              红萝卜去皮 青椒 仔姜 切丝  蒜切片
              
            
              瘦肉买回来最好放冰箱急冻一会儿 这样比较容易切丝  随后在肉丝中加入生抽 淀粉抓匀腌制 这样入味而且丝滑（用鸡蛋清代替淀粉会更好）
            
              起锅烧油 下入红萝卜翻炒至变色 大约1分钟 这个比较难熟
              
            
              随后加入木耳青椒丝翻炒均匀 听到木耳噼里啪啦爆开的声音再炒个20秒就差不多可以出锅装盘待用了
              
            
              下入肉丝翻炒至变白 八成熟就行了 出锅待用
              
            
              如图
              
            
              大火 加入蒜片跟郫县豆瓣酱翻炒
              
            
              倒入刚炒好的半成品跟仔姜丝 淋入少许料酒  翻炒几下加入调好的芡汁（用筷子搅拌下） 炒个1分钟左右就可以出锅了
              
            
              话不多说 盛饭吧～～
              
            "
"
                无敌好吃的香煎豆腐
            ",7.4,"
        这真的是我吃过最好吃的豆腐做法啦。小伙伴们赶紧试试吧，真的好吃哦。
      ","豆腐1块,鸡蛋1个,淀粉适量,盐半匙,白糖半匙,蚝油1勺,生抽2勺,蒜末2瓣","
              调一碗料汁：碗里加一勺蒜末，两勺生抽，一勺蚝油，半匙食盐，半匙白糖，半勺淀粉、三勺水混合备用。
              
            
              准备食材：豆腐切块，鸡蛋一个，淀粉适量
              
            
              豆腐先裹一层淀粉
              
            
              再裹上一层鸡蛋液
              
            
              把豆腐放入平底锅，煎至两面金黄
              
            
              倒入调好的料汁，翻炒片刻
              
            
              加入香菜葱段即可
              
            "
