title,content,time,vnum,cnum,pic
为电动而来 保时捷百万跑车推专用车险,[汽车之家 行业]  保时捷即将上市的首款纯电动车型Taycan加入了新的车险服务E-Cover，E-Cover服务由保时捷金融服务公司推出，专为电动...,49分钟前,576,2,//www3.autoimg.cn/newsdfs/g29/M04/50/9A/120x90_0_autohomecar__ChsEn13SN6qAeyhlAACwIUZ2Fzk976.jpg
11月28日正式上市 捷途X95现已到店,[汽车之家 新闻]  日前，我们在经销商处拍摄到一组捷途X95的实车图。新车定位为全新中型SUV车型，将于11月28日正式上市。    外观方面，捷途...,57分钟前,3289,3,//www2.autoimg.cn/newsdfs/g27/M06/51/CE/120x90_0_autohomecar__ChsEnV3SQ9-AHMGWAAFOYav1LTg715.jpg
搭204马力电机 广汽丰田C-HR EV申报图,[汽车之家 国内谍照]  日前，我们从国家工信部获得了广汽丰田C-HR EV申报图。新车早在2019年上海车展中首发，外观相比燃油版车型有所区别，搭载...,1小时前,1124,8,//www2.autoimg.cn/newsdfs/g25/M02/AE/32/120x90_0_autohomecar__ChsEel3SO42ALMd8AAEVXkbV4iY447.jpg
乘联会预测2020年国内汽车市场增长1%,[汽车之家 行业]  近日，乘用车市场信息联席会（以下简称“乘联会”)秘书长崔东树，对2020年汽车市场进行了分析和展望。根据乘联会会员单位的综合测算...,1小时前,639,3,//www2.autoimg.cn/newsdfs/g26/M00/53/9F/120x90_0_autohomecar__ChcCP13SOnSAVmsSAAHu1-HmvQc738.jpg
或增202kW版 国产特斯拉Model 3申报图,[汽车之家 国内谍照]  日前，我们从工信部获得了国产特斯拉Model 3的申报图。新车在外观方面没有发生任何改变，车尾“特斯拉”字样的中文标识也与之...,1小时前,2679,3,//www2.autoimg.cn/newsdfs/g24/M05/B1/99/120x90_0_autohomecar__ChcCL13SMfOAEwq4AAC-_EIwMfE751.jpg
造型微调 曝新款广汽本田冠道申报图,[汽车之家 国内谍照]  日前，我们从国家工信部获取到了广汽本田冠道中期改款车型的申报图。新车针对外观设计进行了微调，动力上则继续搭载1.5T/2.0...,1小时前,9168,26,//www2.autoimg.cn/newsdfs/g2/M08/85/5E/120x90_0_autohomecar__ChsEml3SOnqAYsJyAACtPqc2eFM094.jpg
疑似命名为“星” 启辰全新SUV申报图,[汽车之家 国内谍照]  日前，我们从工信部获得了东风启辰全新紧凑型SUV 532（代号）的申报信息。新车疑似命名为“星”，动力搭载1.5T涡轮增压发...,1小时前,3413,15,//www3.autoimg.cn/newsdfs/g30/M09/4D/DC/120x90_0_autohomecar__ChsEoF3SLcqASli6AAEYXwq8RJg217.jpg
广州车展亮相  新款别克昂科威官图发布,[汽车之家 新车官图]  日前，我们从别克官方获得一组新款昂科威的官图，新车在外观方面较现款车型进行了升级。按照规划，该车将在11月22日举办的201...,2小时前,1.8万,36,//www3.autoimg.cn/newsdfs/g27/M01/51/CD/120x90_0_autohomecar__ChsEfF3SL5SAHt4jAAHCLYgPB24929.jpg
硬朗气质突出 Karma发电动皮卡预告图,[汽车之家 新能源]  日前，万向集团下的Karma汽车发布了一张电动皮卡的预告图，从图中我们看到该车车顶的大体轮廓，平直的线条打造硬朗的气质，此外车...,2小时前,1291,2,//www3.autoimg.cn/newsdfs/g2/M0B/4C/EE/120x90_0_autohomecar__ChsEkF3SLTKAe5ALAABS8sYxxdU993.jpg
庞青年陷入危机？杭州青年汽车正式破产,[汽车之家 行业]  因推出“加水就能跑”的水氢车而广为人知的庞青年目前正面临危机。近日，人民法院公告称，因杭州青年汽车有限公司（以下简称“杭州青年汽...,3小时前,3925,19,//www2.autoimg.cn/newsdfs/g29/M05/53/A7/120x90_0_autohomecar__ChcCSF3SE7-AJBpsAAHfQDnsSgQ472.jpg
将于12月份亮相 长安逸动PLUS官图发布,[汽车之家 新车官图]  日前，我们从长安汽车官方获取到了旗下紧凑型车――逸动PLUS车型官图，新车整体设计时尚。据了解，该车将搭载荣获2019年度“...,4小时前,2.6万,119,//www3.autoimg.cn/newsdfs/g3/M04/56/3E/120x90_0_autohomecar__ChcCRV3SEHKAEf4KAAFKqKATGUA237.jpg
手机关机也能用 宝马推第二代数字密钥,[汽车之家 行业]  宝马的数字密钥技术目前已能够实现车门的解锁与锁定、启动发动机并与他人分享密钥。近日，宝马对这一技术进行了升级，最新一代标准化车辆...,4小时前,1771,2,//www2.autoimg.cn/newsdfs/g25/M05/A9/04/120x90_0_autohomecar__ChsEmF3SCN2AFfyNAABGmclmQZ4605.jpg
11月22日上市 新款星途TX部分配置曝光,[汽车之家 新闻]  日前，我们从官方获悉新款星途TX将在11月22日开幕的2019广州车展中上市。其中，新款星途TX将新增两款车型，星尚两驱版和星享...,4小时前,1.3万,32,//www2.autoimg.cn/newsdfs/g26/M03/4F/8A/120x90_0_autohomecar__ChsEnF3SBneAThaVAAHDHcXSwYI862.jpg
福特与美国汽车工人联合会达成协议,[汽车之家 行业]  近日，美国汽车工人联合会（UAW）与福特汽车公司达成了一份为期四年的新合同。该合同同意福特关闭其位于密歇根的发动机工厂，但同时，...,4小时前,2360,14,//www3.autoimg.cn/newsdfs/g1/M01/6E/DD/120x90_0_autohomecar__ChsEmV3SDbmAKkL1AAETRtKGYEc157.jpg
转向传统4S店？特斯拉将关闭市区体验店,[汽车之家 行业]  据投中网消息，特斯拉正在陆续关闭中国市场位于购物中心等豪华地段的体验店，且负责门店选址部门的多位员工已被裁撤，原业务由充电部门接...,5小时前,1841,2,//www2.autoimg.cn/newsdfs/g30/M01/52/57/120x90_0_autohomecar__ChcCSV3SBT-AEAjTAABaE3tJ5iU815.jpg
采用手工组装 讴歌MDX PMC Edition官图,[汽车之家 新车官图]  日前，讴歌发布了MDX PMC Edition车型的官图。据了解，新车将在2019洛杉矶车展发布。新车在使用MDX顶配车型的...,5小时前,3687,6,//www3.autoimg.cn/newsdfs/g26/M04/4F/89/120x90_0_autohomecar__ChsEnF3SBmyAI__rAAGrUc-C-9s701.jpg
